1	 1:8.73596	 2:1.02	 3:1.05	 4:.000969
1	 1:7.99162	 2:2.04	 3:2.13	 4:.002523
1	 1:8.89835	 2:2.08	 3:2.03	 4:.003656
2	 1:30.8847	 2:16.75	 3:18.65	 4:.060975
1	 1:2.80457	 2:2.11	 3:2.08	 4:.006207
2	 1:24.4246	 2:13.09	 3:10.84	 4:.01075
2	 1:20.393	 2:9.42	 3:9.37	 4:.016256
1	 1:1.47165	 2:0	 3:0	 4:0
2	 1:12.482	 2:6.15	 3:4.12	 4:.005768
2	 1:7.52192	 2:1.1	 3:1.2	 4:.001061
1	 1:7.18983	 2:0	 3:0	 4:0
2	 1:17.658	 2:7.3	 3:3.05	 4:.002799
1	 1:11.8043	 2:4.16	 3:4.11	 4:.003588
1	 1:11.2897	 2:1.07	 3:1.04	 4:.000683
1	 1:9.64599	 2:0	 3:0	 4:0
1	 1:7.95479	 2:0	 3:0	 4:0
1	 1:8.22982	 2:0	 3:1.01	 4:.00083
1	 1:17.3206	 2:0	 3:4.04	 4:.003959
1	 1:9.22461	 2:1.03	 3:1.03	 4:.000845
2	 1:26.5196	 2:10.74	 3:13.99	 4:.038409
1	 1:11.17	 2:1.02	 3:2.06	 4:.001924
1	 1:8.12682	 2:2.02	 3:2.07	 4:.007697
1	 1:30.0415	 2:11.53	 3:9.64	 4:.013499
1	 1:1.10349	 2:0	 3:0	 4:0
1	 1:14.8353	 2:1.02	 3:3.07	 4:.004897
1	 1:0	 2:0	 3:0	 4:0
1	 1:4.23122	 2:1.02	 3:0	 4:0
2	 1:10.9152	 2:0	 3:0	 4:0
1	 1:30.6378	 2:14.27	 3:11.25	 4:.018972
2	 1:11.4275	 2:1.01	 3:1.02	 4:.000845
1	 1:1.29357	 2:0	 3:1.01	 4:.02163
1	 1:5.43024	 2:2.15	 3:1.03	 4:.005893
1	 1:6.03322	 2:0	 3:0	 4:0
2	 1:15.9456	 2:6.24	 3:5.54	 4:.011829
2	 1:35.3663	 2:25.99	 3:21.91	 4:.059202
1	 1:14.1223	 2:10.09	 3:6.42	 4:.007083
1	 1:5.59671	 2:0	 3:0	 4:0
1	 1:17.0375	 2:2.02	 3:1.02	 4:.001085
1	 1:4.4156	 2:1.01	 3:2.03	 4:.003767
2	 1:13.0232	 2:2.03	 3:4.1	 4:.00351
1	 1:4.07501	 2:0	 3:0	 4:0
1	 1:14.4323	 2:5.12	 3:5.06	 4:.004464
1	 1:5.07933	 2:0	 3:0	 4:0
1	 1:7.6133	 2:1.07	 3:1.02	 4:.00225
1	 1:11.4729	 2:3.21	 3:3.18	 4:.011015
1	 1:9.64335	 2:1.02	 3:1.04	 4:.000836
1	 1:12.6921	 2:8.26	 3:5.17	 4:.00688
2	 1:14.4405	 2:2.02	 3:2.05	 4:.0021
2	 1:23.6077	 2:6.2	 3:10.38	 4:.009514
1	 1:7.42989	 2:1.03	 3:2.03	 4:.001814
1	 1:7.54777	 2:0	 3:2.04	 4:.001675
1	 1:9.13341	 2:2.02	 3:1.01	 4:.00124
2	 1:29.6783	 2:17.21	 3:11.52	 4:.05278
1	 1:11.0206	 2:3.05	 3:4.09	 4:.008377
1	 1:0	 2:0	 3:0	 4:0
1	 1:7.96737	 2:0	 3:1.11	 4:.000845
1	 1:9.12702	 2:0	 3:0	 4:0
1	 1:4.07501	 2:0	 3:0	 4:0
1	 1:4.07501	 2:0	 3:0	 4:0
1	 1:11.296	 2:3.1	 3:3.19	 4:.012258
1	 1:9.07976	 2:3.06	 3:3.08	 4:.009244
1	 1:5.34312	 2:0	 3:0	 4:0
1	 1:5.18073	 2:1.01	 3:1.01	 4:.000617
2	 1:30.738	 2:16.54	 3:15.48	 4:.027891
2	 1:13.7363	 2:4.14	 3:7	 4:.005436
1	 1:6.20089	 2:1.01	 3:1.04	 4:.000743
1	 1:7.56137	 2:0	 3:1.01	 4:.00083
1	 1:6.61333	 2:0	 3:0	 4:0
